trace_num,replacement,access,hit,miss
024,lfu,3722784,2870448,852336
028,lru,3780902,2887180,893722
028,fifo,3780755,2855241,925514
021,lru,4673730,3703453,970277
028,drrip,3780927,2879313,901614
024,bip,3718827,2933723,785104
028,bip,3780927,2879313,901614
022,drrip,4688100,3718887,969213
022,fifo,4670752,3640781,1029971
026,lru,3737702,2900576,837126
021,fifo,4665196,3655419,1009777
021,lfu,4695816,3815053,880763
022,belady,4733741,3732174,1001567
026,drrip,3737666,2891945,845721
024,lru,3719186,2942986,776200
021,belady,4683432,3800988,882444
026,bip,3737666,2891945,845721
028,lfu,3777520,2833657,943863
021,drrip,4680149,3729168,950981
022,lru,4683060,3698531,984529
022,bip,4688100,3718887,969213
026,fifo,3736956,2864972,871984
026,lfu,3738795,2808944,929851
021,bip,4680149,3729168,950981
024,belady,3726945,2880594,846351
026,belady,3730366,2795541,934825
022,lfu,4747493,3748829,998664
024,fifo,3718187,2907726,810461
028,belady,3780947,2834759,946188
024,drrip,3718827,2933723,785104
